1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.054885	0.000000	24.558102	0.025210	1332.1
1	-1.028547	0.000000	24.558102	0.102774	19.9
2	-0.906223	1.000000	23.441825	0.101143	20.2
3	-1.027964	2.000000	22.422615	0.069248	19.8
4	-0.998894	3.000000	21.488339	0.065285	19.4
5	-1.026618	4.000000	20.628806	0.054270	20.6
6	-1.008296	5.000000	19.835390	0.058874	19.1
7	-1.034328	6.000000	19.100746	0.065015	19.9
8	-1.011450	7.000000	18.418577	0.071360	19.8
9	-1.024837	8.000000	17.783453	0.070718	19.3
10	-1.005837	9.000000	17.190672	0.060370	19.3
11	-1.040857	10.000000	16.636134	0.056361	19.6
12	-1.015921	11.000000	16.116255	0.077310	21.5
13	-1.021561	12.000000	15.627883	0.072610	19.9
14	-1.021500	13.000000	15.168240	0.071497	20.1
15	-1.026697	14.000000	14.734861	0.068250	19.4
16	-1.029180	15.000000	14.325560	0.057112	19.2
17	-1.036593	16.000000	13.938382	0.061302	20.8
18	-1.027286	17.000000	13.571583	0.058213	20.0
19	-1.037830	18.000000	13.223594	0.054390	19.6
20	-1.026075	19.000000	12.893004	0.057591	19.3
21	-1.038254	20.000000	12.578540	0.056647	19.8
22	-1.037050	21.000000	12.279051	0.051288	23.8
23	-1.038342	22.000000	11.993492	0.040344	19.4
24	-1.044968	23.000000	11.720912	0.050111	19.4
25	-1.033171	24.000000	11.460448	0.059154	19.4
26	-1.035950	25.000000	11.211308	0.063179	19.6
27	-1.041963	26.000000	10.972769	0.055418	19.8
28	-1.045071	27.000000	10.744170	0.048797	19.7
29	-1.051729	28.000000	10.524901	0.056866	19.3
30	-1.041539	29.000000	10.314403	0.051597	19.7
31	-1.047603	30.000000	10.112160	0.033833	19.4
32	-1.051174	31.000000	9.917695	0.024675	19.2
33	-1.049080	32.000000	9.730569	0.014642	19.8
34	-1.041236	33.000000	9.550373	0.014862	19.7
