1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.404409	37.506172	0.005830	96.7
1	-1.408191	37.070290	0.005573	28.7
2	-1.387556	36.647632	0.005507	29.5
3	-1.395910	36.237560	0.005639	26.7
4	-1.398487	35.839476	0.005491	27.2
5	-1.406706	35.452821	0.005787	27.7
6	-1.407450	35.077072	0.005635	26.8
7	-1.420709	34.711736	0.005614	26.7
8	-1.394880	34.356355	0.005417	27.2
9	-1.401070	34.010494	0.005685	27.3
10	-1.417854	33.673746	0.005457	29.1
11	-1.409012	33.345727	0.005284	26.8
12	-1.403836	33.026076	0.005435	27.1
13	-1.407527	32.714452	0.005565	27.2
14	-1.408345	32.410531	0.005809	26.9
15	-1.417664	32.114010	0.005412	27.7
16	-1.402642	31.824600	0.005368	26.9
17	-1.403495	31.542029	0.005498	29.4
18	-1.430227	31.266037	0.005733	31.7
19	-1.431357	30.996380	0.005582	30.2
20	-1.427946	30.732824	0.005454	26.9
21	-1.423069	30.475148	0.005307	28.9
22	-1.416291	30.223143	0.005590	27.0
23	-1.416580	29.976609	0.005600	27.1
24	-1.408791	29.735354	0.005563	26.9
25	-1.424097	29.499198	0.005348	26.8
26	-1.419449	29.267968	0.005436	27.0
27	-1.433379	29.041500	0.005611	27.0
28	-1.437131	28.819635	0.005722	26.9
29	-1.405211	28.602225	0.005271	42.6
30	-1.423288	28.389125	0.005604	34.9
31	-1.415030	28.180199	0.005387	27.3
32	-1.422614	27.975315	0.005559	26.7
33	-1.437607	27.774347	0.005377	30.6
34	-1.417839	27.577176	0.005286	27.1
35	-1.433785	27.383687	0.005540	31.8
36	-1.439252	27.193769	0.005458	27.3
37	-1.425702	27.007316	0.005417	27.3
38	-1.415475	26.824226	0.005367	27.4
39	-1.454498	26.644403	0.005386	27.3
40	-1.439937	26.467753	0.005535	27.3
41	-1.417873	26.294185	0.005315	27.8
42	-1.438435	26.123614	0.005367	28.3
43	-1.436788	25.955956	0.005443	28.0
44	-1.417918	25.791131	0.005333	27.2
45	-1.430771	25.629062	0.005362	27.0
46	-1.446486	25.469675	0.005448	26.9
47	-1.424931	25.312899	0.005363	26.9
48	-1.422331	25.158666	0.005322	26.9
49	-1.420107	25.006908	0.005260	26.5
50	-1.440628	24.857562	0.005322	28.5
51	-1.426097	24.710566	0.005273	26.9
52	-1.428179	24.565861	0.005293	26.9
53	-1.447323	24.423389	0.005370	27.1
54	-1.447506	24.283095	0.005374	27.2
55	-1.430872	24.144925	0.005356	27.2
56	-1.437683	24.008828	0.005273	27.0
57	-1.431068	23.874753	0.005337	26.8
58	-1.431776	23.742653	0.005218	26.9
59	-1.447758	23.612480	0.005232	27.5
60	-1.443373	23.484189	0.005633	27.1
61	-1.435461	23.357736	0.005306	27.1
62	-1.453785	23.233079	0.005241	26.8
63	-1.442976	23.110177	0.005509	27.2
64	-1.441212	22.988990	0.005224	26.9
